procedure,site,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30
fixed_35_mg_week,21,287,11.539557497935013,15.052331335787104,-0.0025395588792829216,0.34843205574912894,False
iwpc_clinical,1,430,10.696664973884637,14.998566995240157,0.171074599780063,0.39069767441860465,False
iwpc_clinical,2,35,13.009815347343887,18.457832263881148,0.04484533793043932,0.45714285714285713,False
iwpc_clinical,3,721,7.142010080728324,9.37528237241382,0.011219858905261226,0.3550624133148405,False
iwpc_clinical,4,203,6.117222878869464,8.907876415708762,0.166404721626621,0.458128078817734,False
iwpc_clinical,5,334,10.879169253490264,14.439424406038741,0.11240675424245317,0.40718562874251496,False
iwpc_clinical,6,258,10.51367303350131,12.847233710175992,0.1611432203930948,0.29844961240310075,False
iwpc_clinical,7,436,9.728007697392588,13.058388884729416,0.18041517679223562,0.3922018348623853,False
iwpc_clinical,8,198,7.4365859390894835,9.667433175022905,-0.32532403476557104,0.4444444444444444,False
iwpc_clinical,11,115,12.355834901028064,15.88455868957291,0.21704723651818425,0.4260869565217391,False
iwpc_clinical,12,160,10.469779423750001,13.922978667545271,0.13515012240736557,0.40625,False
iwpc_clinical,14,297,13.102452556855834,19.784824996406545,0.1826702554294466,0.36363636363636365,False
iwpc_clinical,15,209,15.488967935502465,28.58540495531514,-0.02311565115735381,0.3444976076555024,False
iwpc_clinical,16,92,10.476907709584335,14.352086200474373,0.17596613511572667,0.4673913043478261,False
iwpc_clinical,17,217,9.14461701095858,11.525411570617845,0.18149897949327942,0.43317972350230416,False
iwpc_clinical,19,200,9.540965119904808,12.973175361486843,0.10580502463251262,0.415,False
iwpc_clinical,20,110,13.464882828262065,18.41763375599791,0.024044610070028227,0.4,False
iwpc_clinical,21,287,10.236040103553465,13.799520346470933,0.15739901690524738,0.4564459930313589,False
iwpc_pharmacogenetic,1,430,8.113452896485816,12.120757301875857,0.45865338745131057,0.5558139534883721,False
iwpc_pharmacogenetic,2,35,12.223578557577973,17.382064562067516,0.15293833577572447,0.45714285714285713,False
iwpc_pharmacogenetic,3,721,6.651597870033983,9.060411132141065,0.07652140974942878,0.39389736477115117,False
iwpc_pharmacogenetic,4,203,5.377405272225236,7.525672725348148,0.40502661957178765,0.541871921182266,False
iwpc_pharmacogenetic,5,334,8.289969570497723,10.926240873516203,0.4917753015582592,0.5329341317365269,False
iwpc_pharmacogenetic,6,258,8.598701043067159,10.724373240050197,0.41546245647002444,0.3333333333333333,False
iwpc_pharmacogenetic,7,436,8.903935276176984,11.679377098648759,0.34437716147954966,0.4426605504587156,False
iwpc_pharmacogenetic,8,198,7.390053497228819,9.193369933624444,-0.198530771445234,0.3787878787878788,False
iwpc_pharmacogenetic,11,115,11.142173983494226,14.718127371410949,0.32781259896222703,0.4782608695652174,False
iwpc_pharmacogenetic,12,160,7.482333756312499,10.380099210748853,0.5192941341335746,0.525,False
iwpc_pharmacogenetic,14,297,11.939621532588127,18.344702521833206,0.29732544843573316,0.45454545454545453,False
iwpc_pharmacogenetic,15,209,13.259312363544066,26.670596242142203,0.10936146871680463,0.4258373205741627,False
iwpc_pharmacogenetic,16,92,10.213648802367782,13.42721657011532,0.27874808486471814,0.3695652173913043,False
iwpc_pharmacogenetic,17,217,7.093111659109361,9.213256129606993,0.47696273906190123,0.5069124423963134,False
iwpc_pharmacogenetic,19,200,8.27264472026393,11.337798562986663,0.3170370861300458,0.45,False
iwpc_pharmacogenetic,20,110,12.098666245085955,17.354066271888666,0.13350750595969085,0.38181818181818183,False
iwpc_pharmacogenetic,21,287,9.795022656079613,13.079861519982504,0.24299234490192256,0.43902439024390244,False
pharmacogenomic_ml,1,430,10.147539557968628,14.355476897332377,0.24063397535851772,0.38372093023255816,False
pharmacogenomic_ml,2,126,10.471824981401493,14.78555881107976,0.10605588792822318,0.42857142857142855,False
pharmacogenomic_ml,3,828,7.148490152855133,9.479029700752056,-0.026724920928562934,0.3828502415458937,False
pharmacogenomic_ml,4,206,6.594068477488373,8.395281055818947,0.272221295781538,0.4029126213592233,False
pharmacogenomic_ml,5,350,8.292511439403198,11.24779823791681,0.4896266986196738,0.56,False
pharmacogenomic_ml,6,280,8.184252849158328,10.61681028461191,0.4273346669252399,0.3464285714285714,False
pharmacogenomic_ml,7,436,9.083106365878644,12.40987382260742,0.25979938182850715,0.41743119266055045,False
pharmacogenomic_ml,8,259,6.117784292701457,7.818000824139662,0.11588218212746615,0.5405405405405406,False
pharmacogenomic_ml,9,213,10.160924206278754,12.75623114043992,0.17335738296531367,0.37089201877934275,False
pharmacogenomic_ml,10,146,10.567748770874415,15.929604517269594,0.3060761944103362,0.4589041095890411,False
pharmacogenomic_ml,11,115,11.346166138006783,14.338697286485573,0.36202355176468715,0.4782608695652174,False
pharmacogenomic_ml,12,168,8.057079161071181,10.60542184866405,0.495364977612996,0.49404761904761907,False
pharmacogenomic_ml,13,63,11.137760418349083,13.213571614721632,0.31406846909331787,0.23809523809523808,False
