procedure,scope,group,n,interval_coverage_90,interval_mean_width_mg_week,suppressed_n_lt_30
pharmacogenomic_ml,subgroup:cyp2c9_group,Unknown,115,0.8347826086956521,39.32247157400816,False
clinical_ml,subgroup:vkorc1_availability,Available,3966,0.8772062531517902,43.64700792986669,False
clinical_ml,subgroup:vkorc1_availability,Missing,1444,0.8829639889196675,43.348668782646484,False
pharmacogenomic_ml,subgroup:vkorc1_availability,Available,3966,0.9157841654059505,38.50413933415403,False
pharmacogenomic_ml,subgroup:vkorc1_availability,Missing,1444,0.8725761772853186,39.386504093300125,False
clinical_ml,subgroup:vkorc1,A/A,1433,0.8702023726448012,44.437970841444994,False
clinical_ml,subgroup:vkorc1,A/G,1371,0.9328956965718453,43.31417112313603,False
clinical_ml,subgroup:vkorc1,G/G,1162,0.8201376936316696,43.064279366816805,False
clinical_ml,subgroup:vkorc1,Unknown,1444,0.8829639889196675,43.348668782646484,False
pharmacogenomic_ml,subgroup:vkorc1,A/A,1433,0.9776692254012561,37.911411168007234,False
pharmacogenomic_ml,subgroup:vkorc1,A/G,1371,0.9197665937272064,38.6873396133603,False
pharmacogenomic_ml,subgroup:vkorc1,G/G,1162,0.8347676419965576,39.01895162270528,False
pharmacogenomic_ml,subgroup:vkorc1,Unknown,1444,0.8725761772853186,39.386504093300125,False
clinical_ml,subgroup:dose_category,high,688,0.48546511627906974,43.16534995642474,False
clinical_ml,subgroup:dose_category,intermediate,2936,0.9856948228882834,43.45257195374995,False
clinical_ml,subgroup:dose_category,low,1786,0.8544232922732363,43.9109737658246,False
pharmacogenomic_ml,subgroup:dose_category,high,688,0.5770348837209303,39.063694160291945,False
pharmacogenomic_ml,subgroup:dose_category,intermediate,2936,0.9717302452316077,39.12025483947341,False
pharmacogenomic_ml,subgroup:dose_category,low,1786,0.9193729003359462,37.98915941713633,False
