procedure,subgroup,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30,subgroup_type
clinical_ml,White,2903,11.46168988880365,16.523248628852027,0.12571117224445238,0.3706510506372718,False,race_audit
fixed_35_mg_week,Asian,1571,14.49225970719287,16.5248020063618,-1.3338451653643602,0.17441120305537874,False,race_audit
fixed_35_mg_week,Black or African American,458,13.758481286577783,19.751680249216236,-0.14664056372951872,0.3777292576419214,False,race_audit
fixed_35_mg_week,Unknown,478,11.198535564853556,14.105122203828552,-0.05550871736466245,0.35564853556485354,False,race_audit
fixed_35_mg_week,White,2903,12.799217558613407,17.710751855133275,-0.004472495715916569,0.3403375818119187,False,race_audit
iwpc_clinical,Asian,1140,7.009731410026553,9.349922115529722,0.10475527481259561,0.39035087719298245,False,race_audit
iwpc_clinical,Black or African American,445,12.019891552189348,16.701648509799014,0.19535013445867444,0.4584269662921348,False,race_audit
iwpc_clinical,Unknown,259,9.270833584342629,12.018848016269004,0.19888830727467954,0.44015444015444016,False,race_audit
iwpc_clinical,White,2458,11.092379398758986,16.29265495003196,0.1396618060465945,0.37876322213181446,False,race_audit
iwpc_pharmacogenetic,Asian,1140,6.540984096224665,8.821838308603215,0.20302633408259918,0.4201754385964912,False,race_audit
iwpc_pharmacogenetic,Black or African American,445,11.860335630283826,16.497224148085465,0.21492704925803097,0.4337078651685393,False,race_audit
iwpc_pharmacogenetic,Unknown,259,7.28866675202418,9.732741923716267,0.4746632304525391,0.5135135135135135,False,race_audit
iwpc_pharmacogenetic,White,2458,9.18858927402709,14.112370812002936,0.3545160587960956,0.4641985353946298,False,race_audit
pharmacogenomic_ml,Asian,1571,7.814160623618161,10.18316198403871,0.11373251733336454,0.3901973265436028,False,race_audit
pharmacogenomic_ml,Black or African American,458,12.144282716305945,16.294715954503022,0.21960802044283756,0.45414847161572053,False,race_audit
pharmacogenomic_ml,Unknown,478,10.71054679644487,13.038392717082287,0.09810447113385445,0.3514644351464435,False,race_audit
pharmacogenomic_ml,White,2903,9.934941649245518,14.824019755247132,0.29628627215029646,0.42404409231829143,False,race_audit
training_mean,Asian,1571,12.693297356926818,14.810957747431681,-0.8748468476292737,0.2552514322087842,False,race_audit
training_mean,Black or African American,458,15.23428926960107,21.662861385196578,-0.37927495455079785,0.3537117903930131,False,race_audit
training_mean,Unknown,478,10.682300583572713,13.754326527439751,-0.0036603758903921424,0.36401673640167365,False,race_audit
training_mean,White,2903,12.5966162141599,17.966715824507983,-0.03371650484681199,0.3396486393386152,False,race_audit
training_median,Asian,1571,10.715811584977722,12.935826692620575,-0.43017073791917904,0.2546148949713558,False,race_audit
training_median,Black or African American,458,16.5829354350494,23.19520004230427,-0.5813043051300903,0.3537117903930131,False,race_audit
training_median,Unknown,478,10.798953974895397,14.236202143283691,-0.0752177128762117,0.39748953974895396,False,race_audit
training_median,White,2903,12.795593721203835,18.604450303788905,-0.10840311694963933,0.3499827764381674,False,race_audit
clinical_ml,Available,5295,11.632695392288417,15.796172044517792,0.11330069941436294,0.3393767705382436,False,cyp2c9_availability
